epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1792.8,0.42167,0.50009,0.96237,0.92446,0.84105,0.93815,0.76322,0.82002,0.6163,1.21813,6.9264e-05,6.9264e-05,6.9264e-05
42,1834.57,0.41876,0.46384,0.96602,0.93363,0.8768,0.94206,0.79934,0.72639,0.55737,1.13475,6.26706e-05,6.26706e-05,6.26706e-05
43,1876.99,0.40702,0.45149,0.95087,0.8861,0.89816,0.92749,0.75492,0.82902,0.59057,1.22928,5.60772e-05,5.60772e-05,5.60772e-05
44,1918.58,0.40367,0.44508,0.96148,0.92597,0.86286,0.94359,0.78689,0.77907,0.55949,1.17365,4.94838e-05,4.94838e-05,4.94838e-05
45,1957.29,0.39868,0.43415,0.95394,0.904,0.89125,0.94412,0.77911,0.78282,0.5584,1.17209,4.28904e-05,4.28904e-05,4.28904e-05
46,1997.44,0.39557,0.41758,0.94867,0.92734,0.87107,0.93675,0.78489,0.75576,0.5551,1.16112,3.6297e-05,3.6297e-05,3.6297e-05
47,2038.1,0.38312,0.41573,0.95655,0.92053,0.8763,0.93676,0.77741,0.78858,0.55794,1.18359,2.97036e-05,2.97036e-05,2.97036e-05
48,2078.61,0.38545,0.40907,0.94432,0.92312,0.88578,0.94058,0.79633,0.74173,0.52693,1.1514,2.31102e-05,2.31102e-05,2.31102e-05
49,2118.47,0.3713,0.40242,0.92964,0.92821,0.89645,0.94649,0.78265,0.80132,0.53078,1.2052,1.65168e-05,1.65168e-05,1.65168e-05
50,2158.67,0.3734,0.40153,0.93734,0.92919,0.90118,0.9488,0.79618,0.74958,0.51675,1.16645,9.9234e-06,9.9234e-06,9.9234e-06
