epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1715.03,0.4076,0.23258,0.9577,0.91602,0.87441,0.94127,0.77907,0.83272,0.52297,1.25607,6.9264e-05,6.9264e-05,6.9264e-05
42,1753.72,0.41019,0.23236,0.96574,0.91969,0.87109,0.929,0.79189,0.75151,0.53667,1.19032,6.26706e-05,6.26706e-05,6.26706e-05
43,1792.97,0.39286,0.22202,0.94287,0.90574,0.8426,0.93978,0.77328,0.83199,0.53161,1.26911,5.60772e-05,5.60772e-05,5.60772e-05
44,1832.79,0.39239,0.21863,0.95769,0.87979,0.88374,0.93979,0.78117,0.78335,0.52275,1.21325,4.94838e-05,4.94838e-05,4.94838e-05
45,1873.71,0.38237,0.2094,0.94405,0.93647,0.89619,0.9472,0.76877,0.86396,0.4955,1.29272,4.28904e-05,4.28904e-05,4.28904e-05
46,1913.09,0.38362,0.20832,0.9435,0.88384,0.90076,0.94457,0.79376,0.76561,0.50803,1.20142,3.6297e-05,3.6297e-05,3.6297e-05
47,1952.04,0.36464,0.1988,0.94588,0.90664,0.88567,0.94446,0.78764,0.80391,0.50132,1.24674,2.97036e-05,2.97036e-05,2.97036e-05
48,1991.14,0.35883,0.19421,0.92603,0.91746,0.87636,0.94454,0.79241,0.76739,0.49005,1.21971,2.31102e-05,2.31102e-05,2.31102e-05
49,2029.98,0.34641,0.19043,0.9167,0.91717,0.89232,0.94551,0.78046,0.81715,0.48449,1.27901,1.65168e-05,1.65168e-05,1.65168e-05
50,2069.25,0.34755,0.18711,0.92373,0.92563,0.8958,0.94647,0.79059,0.76983,0.47307,1.2274,9.9234e-06,9.9234e-06,9.9234e-06
